City,Name,Category,Address,Distance (meters),Google_Rating,Reviews,Latitude,Longitude
Delhi,Daryaganj,North Indian Restaurant,"New Delhi 110037, Delhi",15521,0,0,28.64609,77.243048
Mumbai,Jhama Sweets,Snack Place,"Dr. Choitram Gidwani Road (Chembur), Mumbai, Mahārāshtra",3256,4.1,27726,19.045492,72.8941034
Mumbai,Cafe Madras,Indian Restaurant,"391/B, Ground Floor, Kamakshi Building, Kings Circle, Ambedkar Road, Matunga, Mumbai 400019, Mahārāshtra",5780,0,0,19.0276726,72.8550473
Mumbai,Candies,Bakery,"Mac Ronells, 5Aa Pali Hill (St. Andrews Rd.), Mumbai 400050, Mahārāshtra",6019,0,0,19.0609825,72.8268992
Mumbai,Mahesh Lunch Home,Indian Restaurant,"213 Juhu Tara Road (next to tulip star), Mumbai 400049, Mahārāshtra",6790,4.3,4992,19.1036656,72.826663
Mumbai,The Bombay Canteen,Indian Restaurant,"Ground Floor, Process House, Kamala Mills (Lower Parel), Mumbai 400013, Mahārāshtra",9625,0,0,19.0035585,72.8275267
Mumbai,McDonald's,Burger Joint,"Near Shoppers Stop (Off Amar Mahal Bridge), Mumbai 400089, Mahārāshtra",14421,4.2,9696,18.9236148,72.8319942
Mumbai,Soam,Indian Restaurant,"Fountains Fast Food, Mumbai 400007, Mahārāshtra",14975,0,0,18.9574682,72.8089759
Mumbai,Trishna Restaurant,Asian Restaurant,"7 Sai Baba Marg, Kala Ghoda, Fort, Mumbai 400023, Mahārāshtra",16872,0,0,18.9286576,72.8323932
Mumbai,Pizza by The Bay,Restaurant,"Soona Mahal, 143, Ground Floor, Marine Lines, Mumbai 400020, Mahārāshtra",16664,0,0,18.9332945,72.8238813
Mumbai,The Sassy Spoon,Diner,"Ground Floor, Express Towers (Nariman Point), Mumbai 400021, Mahārāshtra",17244,0,0,18.9283144,72.822326
Mumbai,Kala Ghoda Cafe,Café,"10 Ropewalk Lane, Kala Ghoda, Fort, Mumbai 400001, Mahārāshtra",16883,0,0,18.928482,72.8323116
Mumbai,Cafe Mondegar,Bar,"5A, Council Hall, Metro House, Shahid Bhagat Singh Road (Near Regal Cinema), Mumbai 400001, Mahārāshtra",17346,0,0,18.9240421,72.8321786
Mumbai,Jhama Sweets,Snack Place,"Dr. Choitram Gidwani Road (Chembur), Mumbai, Mahārāshtra",3256,4.1,27726,19.045492,72.8941034
Mumbai,Cafe Madras,Indian Restaurant,"391/B, Ground Floor, Kamakshi Building, Kings Circle, Ambedkar Road, Matunga, Mumbai 400019, Mahārāshtra",5780,0,0,19.0276726,72.8550473
Mumbai,Candies,Bakery,"Mac Ronells, 5Aa Pali Hill (St. Andrews Rd.), Mumbai 400050, Mahārāshtra",6019,0,0,19.0609825,72.8268992
Mumbai,Mahesh Lunch Home,Indian Restaurant,"213 Juhu Tara Road (next to tulip star), Mumbai 400049, Mahārāshtra",6790,4.3,4992,19.1036656,72.826663
Mumbai,The Bombay Canteen,Indian Restaurant,"Ground Floor, Process House, Kamala Mills (Lower Parel), Mumbai 400013, Mahārāshtra",9625,0,0,19.0035585,72.8275267
Mumbai,McDonald's,Burger Joint,"Near Shoppers Stop (Off Amar Mahal Bridge), Mumbai 400089, Mahārāshtra",14421,4.2,9696,18.9236148,72.8319942
Mumbai,Soam,Indian Restaurant,"Fountains Fast Food, Mumbai 400007, Mahārāshtra",14975,0,0,18.9574682,72.8089759
Mumbai,Trishna Restaurant,Asian Restaurant,"7 Sai Baba Marg, Kala Ghoda, Fort, Mumbai 400023, Mahārāshtra",16872,0,0,18.9286576,72.8323932
Mumbai,Pizza by The Bay,Restaurant,"Soona Mahal, 143, Ground Floor, Marine Lines, Mumbai 400020, Mahārāshtra",16664,0,0,18.9332945,72.8238813
Mumbai,The Sassy Spoon,Diner,"Ground Floor, Express Towers (Nariman Point), Mumbai 400021, Mahārāshtra",17244,0,0,18.9283144,72.822326
Mumbai,Kala Ghoda Cafe,Café,"10 Ropewalk Lane, Kala Ghoda, Fort, Mumbai 400001, Mahārāshtra",16883,0,0,18.928482,72.8323116
Mumbai,Cafe Mondegar,Bar,"5A, Council Hall, Metro House, Shahid Bhagat Singh Road (Near Regal Cinema), Mumbai 400001, Mahārāshtra",17346,0,0,18.9240421,72.8321786
Bangalore,Shiro,Japanese Restaurant,"126 2nd Main Road Vittal Mallya Road (Lavelle Rd.), Bangalore 560001, Karnātaka",275,0,0,12.971852,77.5964092
